x,y,z,rank,color,group
-44.90321731567383,10.133806228637695,17.550128936767578,0,#9e0142,G0
-30.48063087463379,-12.705570220947266,-14.737627029418945,1,#9e0142,G0
-28.977256774902344,13.251728057861328,-42.17390060424805,2,#9e0142,G0
-27.118528366088867,29.381454467773438,29.55398178100586,3,#9e0142,G0
-24.56182289123535,-22.134689331054688,-0.6934739351272583,4,#9e0142,G0
-24.560243606567383,-29.625186920166016,20.06955909729004,5,#9e0142,G0
-24.456111907958984,4.92399787902832,6.636515140533447,6,#9e0142,G0
-24.191110610961914,-7.5800065994262695,-6.584896564483643,7,#9e0142,G0
-23.86199188232422,0.4650443196296692,-5.835897922515869,8,#9e0142,G0
-23.29080581665039,-4.37579345703125,-6.74177885055542,9,#9e0142,G0
-22.83059310913086,-55.0487060546875,-5.405796527862549,10,#9e0142,G0
-22.602195739746094,-18.900131225585938,19.103851318359375,11,#9e0142,G0
-22.440946578979492,-20.89399528503418,16.558095932006836,12,#9e0142,G0
-22.150981903076172,-11.33985710144043,15.429545402526855,13,#9e0142,G0
-22.140113830566406,-29.896562576293945,-48.19562530517578,14,#9e0142,G0
-21.871395111083984,18.35297203063965,55.88871765136719,15,#9e0142,G0
-21.732833862304688,-26.675365447998047,-45.66123962402344,16,#9e0142,G0
-21.516746520996094,7.501051425933838,-12.856243133544922,17,#9e0142,G0
-21.307851791381836,22.334423065185547,55.92379379272461,18,#9e0142,G0
-19.669645309448242,10.555253028869629,28.177221298217773,19,#9e0142,G0
-19.48122215270996,1.2284640073776245,10.631961822509766,20,#9e0142,G0
-19.461456298828125,-47.54685974121094,-31.524389266967773,21,#9e0142,G0
-19.44727897644043,5.530696868896484,23.152355194091797,22,#9e0142,G0
-19.297029495239258,31.442974090576172,-37.080833435058594,23,#9e0142,G0
-19.20946502685547,-0.47729310393333435,-4.228264808654785,24,#9e0142,G0
-19.15198516845703,45.87774658203125,-58.56460952758789,25,#9e0142,G0
-18.985383987426758,-22.274179458618164,-32.31041717529297,26,#9e0142,G0
-18.930591583251953,-31.113245010375977,-88.85623168945312,27,#9e0142,G0
-18.598012924194336,28.289535522460938,-23.100208282470703,28,#9e0142,G0
-18.514646530151367,-22.655155181884766,-27.30345344543457,29,#9e0142,G0
-18.396648406982422,-22.92401123046875,-24.18260383605957,30,#9e0142,G0
-18.386316299438477,-17.90123748779297,-10.678544998168945,31,#9e0142,G0
-18.178972244262695,47.74951171875,-27.95879364013672,32,#9e0142,G0
-17.795848846435547,-20.08775520324707,23.080888748168945,33,#9e0142,G0
-17.34381866455078,-4.096468925476074,-3.107431173324585,34,#9e0142,G0
-17.303253173828125,3.159069776535034,73.91815185546875,35,#9e0142,G0
-17.138694763183594,7.511384963989258,-10.843581199645996,36,#9e0142,G0
-17.132890701293945,-22.939863204956055,-43.94998550415039,37,#9e0142,G0
-17.049598693847656,-0.17308159172534943,-4.588989734649658,38,#9e0142,G0
-16.953285217285156,-8.252495765686035,-34.116722106933594,39,#9e0142,G0
-16.89003562927246,28.781543731689453,48.2629508972168,40,#9e0142,G0
-16.733766555786133,-8.863062858581543,-28.304744720458984,41,#9e0142,G0
-16.7219295501709,-9.146597862243652,52.991512298583984,42,#9e0142,G0
-16.51939582824707,29.58738136291504,-0.008818592876195908,43,#9e0142,G0
-16.39158058166504,-2.837766170501709,-5.197674751281738,44,#9e0142,G0
-16.09521484375,-37.56977462768555,-42.00844192504883,45,#9e0142,G0
-15.951595306396484,43.24104309082031,-52.930458068847656,46,#9e0142,G0
-15.833687782287598,27.352745056152344,-1.8408260345458984,47,#9e0142,G0
