gene_name,Day5_EEC_1,Day5_SLEC_1,Day5_EEC_2,Day5_SLEC_2,Day8_EEC_1,Day8_SLEC_1,Day8_MPEC_1,Day8_EEC_2,Day8_SLEC_2,Day8_MPEC_2
0610009B22Rik,165.613247,144.72573899999998,150.513801,86.626677,95.197187,73.577221,87.111717,98.435139,82.607401,101.184268
0610010K14Rik,113.91023600000001,75.702054,78.42330799999999,37.095951,157.777536,232.65890299999998,170.673229,184.437275,224.33933199999998,157.597894
0610012G03Rik,34.141838,17.718916,17.566401000000003,13.684571,64.303097,106.38577099999999,81.58657600000001,79.446557,103.889899,77.675394
0610037L13Rik,68.800802,64.372469,74.87041500000001,39.086461,70.41393199999999,73.602526,85.83337399999999,68.31500799999999,71.442625,76.44561
1110004F10Rik,175.810732,159.432595,184.67418500000002,139.989631,89.960498,149.031521,125.305529,129.60612700000001,156.02677,127.920225
1110008P14Rik,87.956016,102.34308399999999,75.839575,24.016299,230.939646,217.979789,287.75493900000004,258.141666,206.932284,289.36182599999995
1110012L19Rik,25.916707000000002,25.238802,25.147512,16.021473,30.239777,47.649938,48.276995,42.127758,46.695175,44.905176000000004
1110051M20Rik,23.775614,23.419675,28.186784000000003,26.936303999999996,24.469942,7.8820369999999995,21.121582,19.469832999999998,9.198959,23.023511
1110059E24Rik,153.439659,133.109858,164.636928,89.68913,35.59197,43.471647999999995,58.917623,58.277999,50.736744,63.797661
1110059G10Rik,52.64334399999999,54.615605,58.207972,80.143487,57.440241,46.493556,58.868615000000005,55.109334,49.467234000000005,63.295722
1190007I07Rik,108.963932,82.73343299999999,110.805074,29.003801,53.837203,27.789075,65.92246899999999,45.206691,27.964346999999997,57.615924
1500009L16Rik,708.030332,477.893692,431.49640800000003,273.94186099999996,84.075777,54.705326,66.13405300000001,112.72272199999999,58.922956000000006,82.552308
1500011B03Rik,28.505022999999998,17.733023,18.369024,15.249139000000001,56.00107,61.302845,65.033846,52.612764,61.339688,59.535468
1500011K16Rik,41.040268,30.591221,44.215068,39.326448,39.258435999999996,24.318185999999997,42.820190999999994,30.171609000000004,19.713298,41.121342
1600002K03Rik,17.312688,13.480049,15.377292,17.945719,32.870013,31.270638,35.890079,29.631397999999997,28.618534000000004,36.441458000000004
1700021F05Rik,45.942208,50.589594,58.725708999999995,33.390827,30.158171000000003,60.320347,29.128186,30.494172,56.542193999999995,29.911737
1810009A15Rik,180.780815,168.992199,175.713512,132.202873,244.51825499999998,269.90120099999996,269.625587,212.30979100000002,247.091378,234.222815
1810014B01Rik,23.406472,19.864072,31.743609000000003,12.209347,9.808494,14.043358,8.5517,8.190700999999999,8.090686999999999,11.636533
1810022K09Rik,2165.923124,2486.093001,2998.1093960000003,3867.9340009999996,1063.180869,636.755863,895.4555310000001,831.0287950000001,595.127227,969.3405759999999
1810030O07Rik,14.887148999999999,20.604421,18.813248,21.313226999999998,11.400524,13.000128,12.156727,11.497829,14.679266,12.87365
