gene name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TSPAN6,25.25674458,1.302468822,0.416671002,3.12589265,0.001772662,0.008209295
TNMD,0.288508022,-0.050778715,0.487500288,-0.104161405,0.917041262,NA
DPM1,163.5077733,-0.055028326,0.249248588,-0.220776882,0.825266165,0.914449315
SCYL3,296.4617127,0.273700992,0.196425068,1.39341172,0.163495324,0.331239
C1orf112,199.0119864,-1.620120054,0.283312075,-5.718499831,1.07E-08,1.59E-07
FGR,122.79253,-5.609368054,0.637832442,-8.794422612,1.44E-18,7.15E-17
CFH,27.40521651,-0.054920405,0.730716307,-0.075159682,0.940087663,0.974221111
FUCA2,72.03849226,-0.764421958,0.274762493,-2.782119024,0.005400523,0.021358027
GCLC,232.8235989,-0.669026757,0.211546374,-3.16255365,0.001563919,0.007365785
NFYA,557.5801607,-0.007449532,0.17117745,-0.043519352,0.965287538,0.985049675
STPG1,108.0712339,0.772006269,0.391233354,1.973262918,0.048465615,0.130150182
NIPAL3,810.6565538,0.890087366,0.189878683,4.687663474,2.76E-06,2.67E-05
LAS1L,541.2743227,0.243789623,0.218017668,1.118210395,0.263477146,0.464695131
ENPP4,166.5152095,-1.079758358,0.26899474,-4.014050079,5.97E-05,0.000415805
SEMA3F,0.775676409,0.018149013,0.645354626,0.028122543,0.977564414,NA
CFTR,21.0101464,-0.152174024,0.517192357,-0.294230999,0.768581395,0.885901074
ANKIB1,851.197293,-0.244293694,0.169098575,-1.444682156,0.148547184,0.309194139
CYP51A1,232.2112019,-0.375691024,0.254001479,-1.479089907,0.139116287,0.295093227
KRIT1,646.5918389,0.23103482,0.192165687,1.202268849,0.229259382,0.424303676
RAD52,239.2300392,-0.232950518,0.303647292,-0.767174694,0.442977657,0.647551228
MYH16,4.322547154,0.928279411,0.705494264,1.315785909,0.18824591,0.368157087
BAD,17.4333591,-1.057237408,0.435780438,-2.426078171,0.015262982,0.051148636
LAP3,365.2625318,-1.030560331,0.297614708,-3.462733198,0.000534718,0.002888787
CD99,643.5209068,-2.255638839,0.276094889,-8.169795701,3.09E-16,1.25E-14
HS3ST1,14.77673943,0.270394524,0.453504186,0.596233799,0.551019049,0.736432301
AOC1,3.109444133,0.241018564,0.696834479,0.345876347,0.729435645,0.862326521
WNT16,4.107092641,1.180624115,0.667293476,1.769272677,0.076848381,0.187049483
HECW1,17.81678292,-0.026159525,0.738651578,-0.035415243,0.97174863,0.987774948
MAD1L1,99.36802839,-0.144866391,0.327270695,-0.442650053,0.658018875,0.815141972
LASP1,1961.076928,-1.336887734,0.223679671,-5.976795866,2.28E-09,3.76E-08
SNX11,114.3551044,0.696387557,0.213329358,3.264377502,0.001097049,0.005411538
TMEM176A,5.096631343,-0.04757385,0.707052138,-0.067284784,0.94635499,0.97688203
M6PR,963.2804926,-1.167283879,0.199966298,-5.837403046,5.30E-09,8.27E-08
KLHL13,9.186527116,1.089866365,0.636366929,1.712638284,0.086779106,0.205542568
CYP26B1,1.031586096,-0.219877332,0.590718117,-0.372220397,NA,NA
ICA1,32.0618033,-1.290738106,0.387339698,-3.332315569,0.000861265,0.00438239
DBNDD1,10.81135919,1.824312754,0.629121053,2.899780168,0.003734245,0.015687886
ALS2,222.6830134,0.196075261,0.194109522,1.010126958,0.312434468,0.519892749
CASP10,663.9707296,0.784218383,0.267669042,2.929806067,0.003391736,0.014473814
CFLAR,3988.392141,-0.848370679,0.14534576,-5.836913862,5.32E-09,8.29E-08
TFPI,600.3748176,0.139549718,0.207986337,0.67095618,0.502248445,0.698112921
NDUFAF7,170.2115099,-0.101107015,0.22997877,-0.439636296,0.660200548,0.816318353
RBM5,2408.477164,0.171455375,0.213168997,0.804316656,0.421214121,0.627458196
MTMR7,46.35209025,0.341225911,0.331607962,1.029003974,0.303477808,0.510227982
SLC7A2,3.281681133,0.053092869,0.739260432,0.071818897,0.942746034,0.975667992
ARF5,44.12675432,-0.320278845,0.377207855,-0.849077878,0.395837959,0.603883804
SARM1,234.8585501,1.154334397,0.343321779,3.362252169,0.000773095,0.003995113
POLDIP2,279.5527647,-0.759485105,0.254712771,-2.981731547,0.002866232,0.01247931
PLXND1,70.80359114,-1.274939237,0.509723016,-2.501239295,0.012375952,0.043036302
AK2,772.6736064,0.031885291,0.183821117,0.173458259,0.862291235,0.933599474
CD38,651.9259257,-2.934379019,0.285040941,-10.29458789,7.45E-25,6.55E-23
FKBP4,333.2083091,0.579931271,0.178768842,3.244028804,0.001178518,0.00574609
KDM1A,802.0106017,-0.261471693,0.161101495,-1.623024625,0.104584141,0.238057093
RBM6,1147.260838,0.090936845,0.229270305,0.396635948,0.69163594,0.836564738
CAMKK1,21.50830965,1.354853679,0.493711256,2.744222789,0.006065436,0.023590349
RECQL,586.8876703,-1.366524732,0.247574945,-5.519640648,3.40E-08,4.67E-07
VPS50,273.6794457,0.036336382,0.180067956,0.201792606,0.840078862,0.920890041
HSPB6,0.342714615,0.007486801,0.487219952,0.015366367,0.987739895,NA
ARHGAP33,28.71945547,-0.617173906,0.521385047,-1.183719997,0.23652392,0.433159134
NDUFAB1,103.2586066,-1.188455802,0.255089991,-4.658966803,3.18E-06,3.03E-05
PDK4,0.992353015,0.710344976,0.68780184,1.032775626,0.301708913,NA
